volumeto,high,low,time,volumefrom,close,open
80366554.43,385.75,363.49,1454025600,213655.12,369.84,379.69
69118023.53,379.78,365.27,1454284800,185140.13,368.02,369.84
92451420.36,391.83,368.05,1454544000,241636.15,376.68,368.02
59621492.24,382.61,371.42,1454803200,158338.29,375.32,376.68
81681921.7,386.4,372.75,1455062400,213900.82,384.04,375.32
83062384.96,410.85,383.31,1455321600,207874.97,401.07,384.04
97827384.38,425.51,398,1455580800,235999.75,421.4,401.07
114612795.61,447.61,416.36,1455840000,264366.06,437.87,421.4
92520654.34,440.76,410.36,1456099200,216234.68,422.72,437.87
63877549.76,434.14,417.51,1456358400,149546.12,431.3,422.72
81266081.8,441.32,421.22,1456617600,187082.18,434.04,431.3
89499673.17,435.91,407.2,1456876800,211914.61,409.48,434.04
102400021.32,416.58,386.93,1457136000,253517.14,414.87,409.48
66354583.52,417.48,408.42,1457395200,160425.27,415.83,414.87
64587210.96,422.4,407.03,1457654400,155245.49,412.41,415.83
59209474.79,417.37,411.19,1457913600,142464.69,415.91,412.41
60672162.67,419.56,402.13,1458172800,146886.23,408.69,415.91
50738071.35,417.94,407.24,1458432000,122777.58,416.21,408.69
47588395.38,419.58,412.41,1458691200,114021.63,415.71,416.21
56244207.17,427.36,413.93,1458950400,133225.8,422.21,415.71
64063922.85,424.53,406.36,1459209600,154236.24,415.66,422.21
38581065.72,420.18,412.79,1459468800,92326.32,419.06,415.66
45129062.95,423.67,416.21,1459728000,106990.91,421.26,419.06
47303214.95,423.51,412.39,1459987200,112428.84,418.05,421.26
49761026.58,426.69,416.69,1460246400,117399.46,424.74,418.05
52437324.57,429.49,421.41,1460505600,122872.98,428.67,424.74
37449658.94,432,423.79,1460764800,87182.75,427.69,428.67
80537656.44,450.8,426.84,1461024000,183164.73,449.34,427.69
75207638.16,461.78,441.9,1461283200,166503.38,457.56,449.34
110605608.72,468.86,444.62,1461542400,240020.2,447.01,457.56
72629355.86,456.86,433.9,1461801600,162093.7,448.53,447.01
64993756.17,454.21,440.21,1462060800,145349.91,450.27,448.53
67564687.16,461.48,444.22,1462320000,149758.03,459.56,450.27
49259227.11,464.18,454.6,1462579200,106990.32,460.44,459.56
67638054.09,462.14,446.81,1462838400,149144.45,454.43,460.44
33833234.83,460.28,451.49,1463097600,73947.1,458.11,454.43
47358327.3,459.57,450.73,1463356800,103836.79,454.22,458.11
58254959.9,455.19,435.42,1463616000,130816.01,443.64,454.22
43414987.74,447.9,436.94,1463875200,97851.3,446.11,443.64
97942420.04,479.22,445.35,1464134400,211106.76,474.05,446.11
197587177.83,548.04,467.05,1464393600,380270.69,532.26,474.05
128019771.26,546.92,513.15,1464652800,239364.46,537.1,532.26
147051822.39,592.68,534.34,1464912000,258181.95,574.91,537.1
114919775.58,591.32,543.63,1465171200,197981.22,580.51,574.91
